ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,ANIO,MES,DECADA,CLUSTER
0,1960-01-13,154034,-16.145,-72.144,60,7.5,20223006,1960,1,1960,3
1,1960-01-15,93024,-15.0,-75.0,70,7.0,20223006,1960,1,1960,3
2,1960-01-17,25758,-14.5,-74.5,150,6.4,20223006,1960,1,1960,3
3,1960-01-23,33732,-12.5,-68.5,300,5.8,20223006,1960,1,1960,3
4,1960-01-30,50724,-5.5,-77.5,100,5.7,20223006,1960,1,1960,0
5,1960-02-08,190616,-8.5,-74.5,136,5.3,20223006,1960,2,1960,0
6,1960-02-13,204006,-17.5,-70.0,150,5.9,20223006,1960,2,1960,3
7,1960-03-09,235425,-16.389,-73.817,80,6.2,20223006,1960,3,1960,3
8,1960-04-01,131823,-14.5,-73.5,100,6.1,20223006,1960,4,1960,3
9,1960-05-04,12852,-18.0,-71.5,100,5.0,20223006,1960,5,1960,3
10,1960-05-12,120924,-9.0,-72.5,60,5.8,20223006,1960,5,1960,3
11,1960-07-04,80207,-8.0,-71.0,600,6.2,20223006,1960,7,1960,4
12,1960-07-09,20539,-15.0,-70.5,200,5.9,20223006,1960,7,1960,3
13,1960-07-19,41914,-7.0,-80.0,33,5.3,20223006,1960,7,1960,2
14,1960-07-30,71515,-2.5,-77.5,200,5.8,20223006,1960,7,1960,0
15,1960-09-13,215534,-15.0,-75.51,67,5.7,20223006,1960,9,1960,3
16,1960-09-14,803,-15.2,-76.2,91,5.4,20223006,1960,9,1960,3
17,1960-09-24,135833,-3.0,-75.9,146,6.4,20223006,1960,9,1960,0
18,1960-09-26,165813,-16.0,-72.9,115,5.3,20223006,1960,9,1960,3
19,1960-11-03,220219,-14.4,-71.6,55,5.3,20223006,1960,11,1960,3
20,1960-11-11,65327,-16.1,-71.9,114,5.6,20223006,1960,11,1960,3
21,1960-11-20,220156,-5.6,-80.9,60,6.8,20223006,1960,11,1960,2
22,1960-11-29,191706,-16.0,-74.0,33,5.8,20223006,1960,11,1960,3
23,1960-12-17,73831,-15.2,-73.5,28,5.2,20223006,1960,12,1960,3
24,1960-12-22,34721,-16.2,-72.9,147,5.2,20223006,1960,12,1960,3
25,1960-12-30,110336,-17.0,-70.0,47,5.6,20223006,1960,12,1960,3
26,1961-01-08,52146,-15.9,-73.1,135,5.1,20223006,1961,1,1960,3
27,1961-01-28,32446,-13.6,-76.3,86,6.0,20223006,1961,1,1960,3
28,1961-02-08,80413,-10.4,-71.0,600,6.0,20223006,1961,2,1960,4
29,1961-03-17,100628,-11.1,-78.8,60,5.0,20223006,1961,3,1960,2
30,1961-04-09,171747,-18.3,-70.2,29,5.3,20223006,1961,4,1960,3
31,1961-04-27,175214,-13.2,-75.1,83,6.2,20223006,1961,4,1960,3
32,1961-06-03,42156,-18.1,-70.3,60,5.3,20223006,1961,6,1960,3
33,1961-06-17,105630,-12.0,-75.3,29,5.5,20223006,1961,6,1960,3
34,1961-07-01,131040,-15.3,-74.8,68,5.8,20223006,1961,7,1960,3
35,1961-07-03,144930,-8.7,-79.1,57,5.8,20223006,1961,7,1960,2
36,1961-07-08,54902,-6.2,-77.1,15,5.8,20223006,1961,7,1960,2
37,1961-07-28,10531,-2.287,-77.035,142,6.6,20223006,1961,7,1960,0
38,1961-08-17,174943,-17.4,-72.7,46,5.6,20223006,1961,8,1960,3
39,1961-08-19,50949,-10.8,-71.0,649,7.0,20223006,1961,8,1960,4
40,1961-08-20,91011,-11.5,-70.6,630,6.1,20223006,1961,8,1960,4
41,1961-08-28,62819,-15.2,-70.2,185,5.3,20223006,1961,8,1960,3
42,1961-08-28,212716,-14.1,-73.9,100,4.8,20223006,1961,8,1960,3
43,1961-08-30,34528,-3.9,-77.8,33,5.5,20223006,1961,8,1960,2
44,1961-08-31,14839,-10.4,-70.7,605,7.1,20223006,1961,8,1960,4
45,1961-08-31,15708,-10.5,-70.7,629,7.5,20223006,1961,8,1960,4
46,1961-09-06,153020,-10.9,-79.1,45,4.8,20223006,1961,9,1960,2
47,1961-09-12,111825,-11.1,-70.6,543,5.6,20223006,1961,9,1960,4
48,1961-10-11,122835,-13.3,-75.5,137,5.3,20223006,1961,10,1960,3
49,1961-11-08,193000,-13.98,-71.9,20,5.2,20223006,1961,11,1960,3
50,1961-11-10,20734,-14.3,-71.9,68,5.6,20223006,1961,11,1960,3
51,1961-11-23,111728,-5.6,-80.3,61,6.1,20223006,1961,11,1960,2
52,1961-11-29,203809,-7.2,-76.4,33,5.8,20223006,1961,11,1960,2
53,1961-12-09,35855,-14.9,-75.7,39,5.3,20223006,1961,12,1960,3
54,1961-12-24,142531,-5.7,-80.9,33,6.1,20223006,1961,12,1960,2
55,1962-01-02,52341,-18.1,-70.6,77,5.3,20223006,1962,1,1960,3
56,1962-01-25,72604,-15.7,-69.6,190,4.6,20223006,1962,1,1960,3
57,1962-03-01,21237,-15.7,-74.3,64,5.9,20223006,1962,3,1960,3
58,1962-03-12,15237,-13.9,-72.6,91,5.0,20223006,1962,3,1960,3
59,1962-03-19,210416,-16.8,-73.5,33,5.1,20223006,1962,3,1960,3
60,1962-03-22,205036,-14.9,-70.7,119,5.1,20223006,1962,3,1960,3
61,1962-04-18,191437,-10.0,-79.0,39,6.7,20223006,1962,4,1960,2
62,1962-07-15,144350,-9.3,-78.9,80,5.9,20223006,1962,7,1960,2
63,1962-07-25,60515,-14.3,-75.5,100,5.2,20223006,1962,7,1960,3
64,1962-07-25,65556,-16.3,-75.0,33,5.3,20223006,1962,7,1960,3
65,1962-08-24,131537,-17.5,-70.4,92,5.7,20223006,1962,8,1960,3
66,1962-08-30,62228,-17.4,-69.8,145,5.3,20223006,1962,8,1960,3
67,1962-09-09,32156,-15.6,-73.4,98,5.3,20223006,1962,9,1960,3
68,1962-09-20,92526,-15.5,-76.1,33,5.2,20223006,1962,9,1960,1
69,1962-09-22,164531,-15.5,-73.1,137,5.2,20223006,1962,9,1960,3
70,1962-09-28,221452,-13.8,-76.7,61,4.8,20223006,1962,9,1960,1
71,1962-09-29,75820,-17.1,-70.5,33,6.0,20223006,1962,9,1960,3
72,1962-10-20,63329,-17.2,-69.7,153,5.3,20223006,1962,10,1960,3
73,1962-11-08,210,-15.1,-75.4,44,5.3,20223006,1962,11,1960,3
74,1962-11-15,232515,-8.7,-79.8,45,6.2,20223006,1962,11,1960,2
75,1962-11-23,3004,-15.262,-75.512,20,5.9,20223006,1962,11,1960,3
76,1962-12-24,174305,-8.4,-78.7,80,5.1,20223006,1962,12,1960,2
77,1963-01-16,202051,-3.9,-76.8,102,6.0,20223006,1963,1,1960,0
78,1963-01-17,42219,-10.7,-79.0,21,4.9,20223006,1963,1,1960,2
79,1963-01-17,193059,-8.3,-75.1,124,5.8,20223006,1963,1,1960,0
80,1963-01-22,83235,-11.6,-75.0,47,4.9,20223006,1963,1,1960,1
81,1963-02-03,111809,-9.1,-77.1,33,4.6,20223006,1963,2,1960,2
82,1963-02-16,213222,-8.5,-80.1,33,5.2,20223006,1963,2,1960,2
83,1963-02-24,53819,-15.1,-72.5,97,5.3,20223006,1963,2,1960,3
84,1963-02-27,110042,-15.1,-73.6,105,5.5,20223006,1963,2,1960,3
85,1963-03-04,154302,-4.5,-81.6,23,5.6,20223006,1963,3,1960,2
86,1963-03-04,183151,-15.8,-75.3,40,5.3,20223006,1963,3,1960,3
87,1963-03-05,70500,-4.5,-81.5,22,5.8,20223006,1963,3,1960,2
88,1963-03-31,44559,-6.6,-81.2,31,5.5,20223006,1963,3,1960,2
89,1963-03-31,55100,-10.8,-78.5,32,5.8,20223006,1963,3,1960,2
90,1963-04-03,13559,-4.8,-78.4,33,4.9,20223006,1963,4,1960,2
91,1963-04-04,82626,-16.3,-73.0,95,5.0,20223006,1963,4,1960,3
92,1963-04-06,4300,-18.0,-69.9,159,4.8,20223006,1963,4,1960,3
93,1963-04-13,22058,-6.2,-76.5,125,6.9,20223006,1963,4,1960,0
94,1963-04-28,52205,-11.7,-78.1,10,5.3,20223006,1963,4,1960,2
95,1963-04-30,184307,-8.3,-80.0,9,5.4,20223006,1963,4,1960,2
96,1963-05-10,130522,-8.0,-74.4,143,4.9,20223006,1963,5,1960,0
97,1963-05-17,141105,-14.1,-73.9,94,5.4,20223006,1963,5,1960,3
98,1963-05-26,124346,-16.9,-72.4,47,5.1,20223006,1963,5,1960,3
99,1963-05-26,191339,-5.5,-81.2,33,5.1,20223006,1963,5,1960,2
100,1963-06-18,153955,-5.3,-78.5,33,4.9,20223006,1963,6,1960,2
101,1963-06-21,121313,-4.9,-81.2,45,4.6,20223006,1963,6,1960,2
102,1963-06-24,12103,-15.3,-69.4,179,4.5,20223006,1963,6,1960,3
103,1963-06-25,104531,-15.9,-75.2,33,4.7,20223006,1963,6,1960,1
104,1963-06-27,131515,-11.7,-77.6,33,4.7,20223006,1963,6,1960,1
105,1963-06-30,110949,-7.3,-75.2,43,4.8,20223006,1963,6,1960,2
106,1963-06-30,124356,-8.8,-77.9,94,4.7,20223006,1963,6,1960,2
107,1963-07-05,54813,-11.6,-77.5,55,6.0,20223006,1963,7,1960,2
108,1963-07-05,142924,-3.2,-77.8,65,4.7,20223006,1963,7,1960,2
109,1963-07-10,114735,-16.3,-72.2,90,4.6,20223006,1963,7,1960,3
110,1963-07-22,163322,-12.5,-73.7,79,4.9,20223006,1963,7,1960,3
111,1963-07-26,234826,-9.7,-78.5,62,5.3,20223006,1963,7,1960,2
112,1963-08-01,183026,-15.0,-71.8,100,4.6,20223006,1963,8,1960,3
113,1963-08-04,120724,-4.1,-80.9,34,5.1,20223006,1963,8,1960,2
114,1963-08-05,84659,-9.9,-79.0,31,5.2,20223006,1963,8,1960,2
115,1963-08-15,143601,-10.0,-78.6,80,4.9,20223006,1963,8,1960,2
116,1963-08-15,172506,-13.8,-69.3,543,7.8,20223006,1963,8,1960,4
117,1963-08-18,230754,-14.2,-71.9,31,5.0,20223006,1963,8,1960,3
118,1963-08-27,125655,-17.7,-70.1,158,4.7,20223006,1963,8,1960,3
119,1963-08-29,153031,-7.1,-81.6,23,7.0,20223006,1963,8,1960,2
